Jday,emerge_date,line,rep,leaf,area_cm2,therm_time,emerge_therm_time,germ_dates,germ_therm_time,therm_time_adj,emerge_therm_time_adj
312,299,CC,1,3,11.38,13822.6696153242,7360.18988658917,289,2290.49507224167,11532.1745430825,5069.6948143475
315,299,CC,1,3,14.16,15334.8716263725,7360.18988658917,289,2290.49507224167,13044.3765541308,5069.6948143475
317,299,CC,1,3,17.3,16361.6030911408,7360.18988658917,289,2290.49507224167,14071.1080188992,5069.6948143475
319,299,CC,1,3,19.14,17372.6732596442,7360.18988658917,289,2290.49507224167,15082.1781874025,5069.6948143475
322,299,CC,1,3,17.75,18867.4119883759,7360.18988658917,289,2290.49507224167,16576.9169161342,5069.6948143475
324,299,CC,1,3,20.5,19858.0511356425,7360.18988658917,289,2290.49507224167,17567.5560634008,5069.6948143475
326,299,CC,1,3,19.79,20846.1730402358,7360.18988658917,289,2290.49507224167,18555.6779679941,5069.6948143475
331,299,CC,1,3,17.94,23368.4233921392,7360.18988658917,289,2290.49507224167,21077.9283198975,5069.6948143475
310,302,CC,1,4,3.31,12828.4880273992,8861.14282276251,289,2290.49507224167,10537.9929551575,6570.64775052084
312,302,CC,1,4,7.83,13822.6696153242,8861.14282276251,289,2290.49507224167,11532.1745430825,6570.64775052084
315,302,CC,1,4,16.84,15334.8716263725,8861.14282276251,289,2290.49507224167,13044.3765541308,6570.64775052084
317,302,CC,1,4,18.91,16361.6030911408,8861.14282276251,289,2290.49507224167,14071.1080188992,6570.64775052084
319,302,CC,1,4,25.22,17372.6732596442,8861.14282276251,289,2290.49507224167,15082.1781874025,6570.64775052084
322,302,CC,1,4,28.93,18867.4119883759,8861.14282276251,289,2290.49507224167,16576.9169161342,6570.64775052084
324,302,CC,1,4,32.8,19858.0511356425,8861.14282276251,289,2290.49507224167,17567.5560634008,6570.64775052084
326,302,CC,1,4,34.59,20846.1730402358,8861.14282276251,289,2290.49507224167,18555.6779679941,6570.64775052084
331,302,CC,1,4,49.58,23368.4233921392,8861.14282276251,289,2290.49507224167,21077.9283198975,6570.64775052084
315,306,CC,1,5,4.8,15334.8716263725,10841.8453505625,289,2290.49507224167,13044.3765541308,8551.3502783208
317,306,CC,1,5,9.46,16361.6030911408,10841.8453505625,289,2290.49507224167,14071.1080188992,8551.3502783208
319,306,CC,1,5,18.72,17372.6732596442,10841.8453505625,289,2290.49507224167,15082.1781874025,8551.3502783208
322,306,CC,1,5,26.78,18867.4119883759,10841.8453505625,289,2290.49507224167,16576.9169161342,8551.3502783208
324,306,CC,1,5,40.86,19858.0511356425,10841.8453505625,289,2290.49507224167,17567.5560634008,8551.3502783208
326,306,CC,1,5,40.14,20846.1730402358,10841.8453505625,289,2290.49507224167,18555.6779679941,8551.3502783208
331,306,CC,1,5,30.59,23368.4233921392,10841.8453505625,289,2290.49507224167,21077.9283198975,8551.3502783208
317,311,CC,1,6,3.09,16361.6030911408,13313.8487597875,289,2290.49507224167,14071.1080188992,11023.3536875458
319,311,CC,1,6,10.92,17372.6732596442,13313.8487597875,289,2290.49507224167,15082.1781874025,11023.3536875458
322,311,CC,1,6,23.84,18867.4119883759,13313.8487597875,289,2290.49507224167,16576.9169161342,11023.3536875458
324,311,CC,1,6,28.79,19858.0511356425,13313.8487597875,289,2290.49507224167,17567.5560634008,11023.3536875458
326,311,CC,1,6,39.41,20846.1730402358,13313.8487597875,289,2290.49507224167,18555.6779679941,11023.3536875458
331,311,CC,1,6,57.7,23368.4233921392,13313.8487597875,289,2290.49507224167,21077.9283198975,11023.3536875458
322,315,CC,1,7,7.76,18867.4119883759,15334.8716263725,289,2290.49507224167,16576.9169161342,13044.3765541308
324,315,CC,1,7,19.15,19858.0511356425,15334.8716263725,289,2290.49507224167,17567.5560634008,13044.3765541308
326,315,CC,1,7,26.21,20846.1730402358,15334.8716263725,289,2290.49507224167,18555.6779679941,13044.3765541308
331,315,CC,1,7,58.55,23368.4233921392,15334.8716263725,289,2290.49507224167,21077.9283198975,13044.3765541308
324,317,CC,1,8,5.05,19858.0511356425,16361.6030911408,289,2290.49507224167,17567.5560634008,14071.1080188992
326,317,CC,1,8,12.61,20846.1730402358,16361.6030911408,289,2290.49507224167,18555.6779679941,14071.1080188992
331,317,CC,1,8,43.09,23368.4233921392,16361.6030911408,289,2290.49507224167,21077.9283198975,14071.1080188992
324,320,CC,1,9,1.48,19858.0511356425,17880.4169198376,289,2290.49507224167,17567.5560634008,15589.9218475959
326,320,CC,1,9,4.89,20846.1730402358,17880.4169198376,289,2290.49507224167,18555.6779679941,15589.9218475959
