jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
285	10	0.85	20	1.241784855	0	500	24	1.241784855	83.83311883	380	20	20	20	10	1	-999	-999
285	10.5	0.85	20	1.226267028	0	500	24	1.226267028	83.83311883	380	20	20	20	10	1	-999	-999
285	11	0.85	20	1.235785895	0	500	24	1.235785895	83.83311883	380	20	20	20	10	1	-999	-999
285	11.5	0.85	20	1.223290652	0	500	24	1.223290652	83.77978988	380	20	20	20	10	1	-999	-999
285	12	0.85	20	1.253054415	0	500	24	1.253054415	83.77978988	380	20	20	20	10	1	-999	-999
285	12.5	0.85	20	1.229786934	0	500	24	1.229786934	83.76645764	380	20	20	20	10	1	-999	-999
285	13	0.85	20	1.223787973	0	500	24	1.223787973	83.76645764	380	20	20	20	10	1	-999	-999
285	13.5	0.85	20	1.239323831	0	500	24	1.239323831	83.6864642	380	20	20	20	10	1	-999	-999
285	14	0.85	20	1.223787973	0	500	24	1.223787973	83.6864642	380	20	20	20	10	1	-999	-999
285	14.5	0.85	20	1.233278349	0	500	24	1.233278349	83.65979972	380	20	20	20	10	1	-999	-999
285	15	0.85	20	1.226787454	0	500	24	1.226787454	83.65979972	380	20	20	20	10	1	-999	-999
285	15.5	0.85	20	1.229786934	0	500	24	1.229786934	83.61980301	380	20	20	20	10	1	-999	-999
285	16	0.85	20	1.239323831	0	500	24	1.239323831	83.61980301	380	20	20	20	10	1	-999	-999
285	16.5	0.85	20	1.255017652	0	500	24	1.255017652	83.57980629	380	20	20	20	10	1	-999	-999
285	17	0.85	20	1.258063812	0	500	24	1.258063812	83.57980629	380	20	20	20	10	1	-999	-999
285	17.5	0.85	20	1.251971493	0	500	24	1.251971493	83.59313853	380	20	20	20	10	1	-999	-999
285	18	0.85	20	1.248392054	0	500	24	1.248392054	83.59313853	380	20	20	20	10	1	-999	-999
285	18.5	0.85	20	1.245369313	0	500	24	1.245369313	83.63313525	380	20	20	20	10	1	-999	-999
285	19	0.85	20	1.248392054	0	500	24	1.248392054	83.63313525	380	20	20	20	10	1	-999	-999
285	19.5	0.85	20	1.390460883	0	500	24	1.390460883	83.67313196	380	20	20	20	10	1	-999	-999
285	20	0.85	20	1.065101132	0	0	24	1.065101132	83.67313196	380	20	20	20	10	1	-999	-999
285	20.5	0.85	20	0.715793771	0	0	24	0.715793771	83.7531254	380	20	20	20	10	1	-999	-999
285	21	0.85	20	0.67570932	0	0	24	0.67570932	83.7531254	380	20	20	20	10	1	-999	-999
285	21.5	0.85	20	0.66998297	0	0	24	0.66998297	83.80645435	380	20	20	20	10	1	-999	-999
285	22	0.85	20	0.684298845	0	0	24	0.684298845	83.80645435	380	20	20	20	10	1	-999	-999
285	22.5	0.85	20	0.718491758	0	0	24	0.718491758	83.7531254	380	20	20	20	10	1	-999	-999
285	23	0.85	20	0.74157583	0	0	24	0.74157583	83.7531254	380	20	20	20	10	1	-999	-999
285	23.5	0.85	20	0.753015047	0	0	24	0.753015047	83.64646749	380	20	20	20	10	1	-999	-999
285	24	0.85	20	0.784858466	0	0	24	0.784858466	83.64646749	380	20	20	20	10	1	-999	-999
286	0.5	0.85	20	0.802171521	0	0	24	0.802171521	83.6864642	380	20	20	20	10	1	-999	-999
286	1	0.85	20	0.807942539	0	0	24	0.807942539	83.6864642	380	20	20	20	10	1	-999	-999
286	1.5	0.85	20	0.83391212	0	0	24	0.83391212	83.64646749	380	20	20	20	10	1	-999	-999
286	2	0.85	20	0.845454157	0	0	24	0.845454157	83.64646749	380	20	20	20	10	1	-999	-999
286	2.5	0.85	20	0.851225175	0	0	24	0.851225175	83.65979972	380	20	20	20	10	1	-999	-999
286	3	0.85	20	0.862767211	0	0	24	0.862767211	83.65979972	380	20	20	20	10	1	-999	-999
286	3.5	0.85	20	0.874309247	0	0	24	0.874309247	83.65979972	380	20	20	20	10	1	-999	-999
286	4	0.85	20	0.882965774	0	0	24	0.882965774	83.65979972	380	20	20	20	10	1	-999	-999
286	4.5	0.85	20	0.888736793	0	0	24	0.888736793	83.61980301	380	20	20	20	10	1	-999	-999
286	5	0.85	20	0.89739332	5	0	24	0.89739332	83.61980301	380	20	20	20	10	1	-999	-999
286	5.5	0.85	20	0.903164338	0	0	24	0.903164338	83.61980301	380	20	20	20	10	1	-999	-999
286	6	0.85	20	0.903164338	0	500	24	0.903164338	83.61980301	380	20	20	20	10	1	-999	-999
286	6.5	0.85	20	1.03737742	0	500	24	1.03737742	83.61980301	380	20	20	20	10	1	-999	-999
286	7	0.85	20	1.032121753	0	500	24	1.032121753	83.61980301	380	20	20	20	10	1	-999	-999
286	7.5	0.85	20	1.17103861	0	500	24	1.17103861	83.65979972	380	20	20	20	10	1	-999	-999
286	8	0.85	20	1.116692009	0	500	24	1.116692009	83.65979972	380	20	20	20	10	1	-999	-999
286	8.5	0.85	20	1.090869708	0	500	24	1.090869708	83.65979972	380	20	20	20	10	1	-999	-999
286	9	0.85	20	1.093607936	0	500	24	1.093607936	83.65979972	380	20	20	20	10	1	-999	-999
286	9.5	0.85	20	1.07673615	0	500	24	1.07673615	83.63313525	380	20	20	20	10	1	-999	-999
286	10	0.85	20	1.073895157	0	500	24	1.073895157	83.63313525	380	20	20	20	10	1	-999	-999
286	10.5	0.85	20	1.068213172	0	500	24	1.068213172	83.57980629	380	20	20	20	10	1	-999	-999
286	11	0.85	20	1.06537218	0	500	24	1.06537218	83.57980629	380	20	20	20	10	1	-999	-999
286	11.5	0.85	20	1.105185583	0	500	24	1.105185583	83.55314181	380	20	20	20	10	1	-999	-999
286	12	0.85	20	1.039803248	0	500	24	1.039803248	83.55314181	380	20	20	20	10	1	-999	-999
286	12.5	0.85	20	1.001353896	0	500	24	1.001353896	83.49981286	380	20	20	20	10	1	-999	-999
286	13	0.85	20	1.001353896	0	500	24	1.001353896	83.49981286	380	20	20	20	10	1	-999	-999
286	13.5	0.85	20	0.993573238	0	500	24	0.993573238	83.4464839	380	20	20	20	10	1	-999	-999
286	14	0.85	20	0.999123926	0	500	24	0.999123926	83.4464839	380	20	20	20	10	1	-999	-999
286	14.5	0.85	20	1.004674615	0	500	24	1.004674615	83.43315166	380	20	20	20	10	1	-999	-999
286	15	0.85	20	1.020933441	0	500	24	1.020933441	83.43315166	380	20	20	20	10	1	-999	-999
286	15.5	0.85	20	1.116692009	0	500	24	1.116692009	83.5131451	380	20	20	20	10	1	-999	-999
286	16	0.85	20	1.085143357	0	500	24	1.085143357	83.5131451	380	20	20	20	10	1	-999	-999
286	16.5	0.85	20	1.085143357	0	500	24	1.085143357	83.47314838	380	20	20	20	10	1	-999	-999
286	17	0.85	20	1.085143357	0	500	24	1.085143357	83.47314838	380	20	20	20	10	1	-999	-999
286	17.5	0.85	20	1.076553832	0	500	24	1.076553832	83.45981614	380	20	20	20	10	1	-999	-999
286	18	0.85	20	1.082280182	0	500	24	1.082280182	83.45981614	380	20	20	20	10	1	-999	-999
286	18.5	0.85	20	1.085143357	0	500	24	1.085143357	83.45981614	380	20	20	20	10	1	-999	-999
286	19	0.85	20	1.088006532	0	500	24	1.088006532	83.45981614	380	20	20	20	10	1	-999	-999
286	19.5	0.85	20	1.116638283	0	500	24	1.116638283	83.40648718	380	20	20	20	10	1	-999	-999
286	20	0.85	20	1.090722427	0	0	24	1.090722427	83.40648718	380	20	20	20	10	1	-999	-999
286	20.5	0.85	20	0.661567877	0	0	24	0.661567877	83.45981614	380	20	20	20	10	1	-999	-999
286	21	0.85	20	0.646354031	0	0	24	0.646354031	83.45981614	380	20	20	20	10	1	-999	-999
286	21.5	0.85	20	0.667119795	0	0	24	0.667119795	83.52647733	380	20	20	20	10	1	-999	-999
286	22	0.85	20	0.695407685	0	0	24	0.695407685	83.52647733	380	20	20	20	10	1	-999	-999
286	22.5	0.85	20	0.738630806	0	0	24	0.738630806	83.55314181	380	20	20	20	10	1	-999	-999
286	23	0.85	20	0.767710758	0	0	24	0.767710758	83.55314181	380	20	20	20	10	1	-999	-999
286	23.5	0.85	20	0.937558529	0	0	24	0.937558529	83.57980629	380	20	20	20	10	1	-999	-999
286	24	0.85	20	0.849134627	0	0	24	0.849134627	83.57980629	380	20	20	20	10	1	-999	-999
287	0.5	0.85	20	0.869490594	0	0	24	0.869490594	83.56647405	380	20	20	20	10	1	-999	-999
287	1	0.85	20	0.898570547	0	0	24	0.898570547	83.56647405	380	20	20	20	10	1	-999	-999
287	1.5	0.85	20	0.916018519	0	0	24	0.916018519	83.45981614	380	20	20	20	10	1	-999	-999
287	2	0.85	20	0.942190476	0	0	24	0.942190476	83.45981614	380	20	20	20	10	1	-999	-999
287	2.5	0.85	20	0.956730453	0	0	24	0.956730453	83.4464839	380	20	20	20	10	1	-999	-999
287	3	0.85	20	0.988718401	0	0	24	0.988718401	83.4464839	380	20	20	20	10	1	-999	-999
287	3.5	0.85	20	1.062566333	0	0	24	1.062566333	83.45981614	380	20	20	20	10	1	-999	-999
287	4	0.85	20	1.038154321	0	0	24	1.038154321	83.45981614	380	20	20	20	10	1	-999	-999
287	4.5	0.85	20	1.052694298	0	0	24	1.052694298	83.5131451	380	20	20	20	10	1	-999	-999
287	5	0.85	20	1.073050265	5	0	24	1.073050265	83.5131451	380	20	20	20	10	1	-999	-999
287	5.5	0.85	20	1.090498236	0	0	24	1.090498236	83.52647733	380	20	20	20	10	1	-999	-999
287	6	0.85	20	1.099222222	0	500	24	1.099222222	83.52647733	380	20	20	20	10	1	-999	-999
287	6.5	0.85	20	1.183976401	0	500	24	1.183976401	83.49981286	380	20	20	20	10	1	-999	-999
287	7	0.85	20	1.192768305	0	500	24	1.192768305	83.49981286	380	20	20	20	10	1	-999	-999
287	7.5	0.85	20	1.35857689	0	500	24	1.35857689	83.52647733	380	20	20	20	10	1	-999	-999
287	8	0.85	20	1.319986535	0	500	24	1.319986535	83.52647733	380	20	20	20	10	1	-999	-999
287	8.5	0.85	20	1.294617724	0	500	24	1.294617724	83.53980957	380	20	20	20	10	1	-999	-999
287	9	0.85	20	1.294617724	0	500	24	1.294617724	83.53980957	380	20	20	20	10	1	-999	-999
287	9.5	0.85	20	1.294617724	0	500	24	1.294617724	83.57980629	380	20	20	20	10	1	-999	-999
287	10	0.85	20	1.300710042	0	500	24	1.300710042	83.57980629	380	20	20	20	10	1	-999	-999
287	10.5	0.85	20	1.297663883	0	500	24	1.297663883	83.55314181	380	20	20	20	10	1	-999	-999
287	11	0.85	20	1.297663883	0	500	24	1.297663883	83.55314181	380	20	20	20	10	1	-999	-999
287	11.5	0.85	20	1.440224362	0	500	24	1.440224362	83.55314181	380	20	20	20	10	1	-999	-999
287	12	0.85	20	1.335335216	0	500	24	1.335335216	83.55314181	380	20	20	20	10	1	-999	-999
287	12.5	0.85	20	1.341474688	0	500	24	1.341474688	83.52647733	380	20	20	20	10	1	-999	-999
287	13	0.85	20	1.340310114	0	500	24	1.340310114	83.52647733	380	20	20	20	10	1	-999	-999
287	13.5	0.85	20	1.341474688	0	500	24	1.341474688	83.5131451	380	20	20	20	10	1	-999	-999
287	14	0.85	20	1.338404952	0	500	24	1.338404952	83.5131451	380	20	20	20	10	1	-999	-999
287	14.5	0.85	20	1.341474688	0	500	24	1.341474688	83.49981286	380	20	20	20	10	1	-999	-999
287	15	0.85	20	1.364221281	0	500	24	1.364221281	83.49981286	380	20	20	20	10	1	-999	-999
287	15.5	0.85	20	1.438773299	0	500	24	1.438773299	83.47314838	380	20	20	20	10	1	-999	-999
287	16	0.85	20	1.277778619	0	500	24	1.277778619	83.47314838	380	20	20	20	10	1	-999	-999
287	16.5	0.85	20	1.261983543	0	500	24	1.261983543	83.47314838	380	20	20	20	10	1	-999	-999
287	17	0.85	20	1.261983543	0	500	24	1.261983543	83.47314838	380	20	20	20	10	1	-999	-999
287	17.5	0.85	20	1.270912672	0	500	24	1.270912672	83.5131451	380	20	20	20	10	1	-999	-999
287	18	0.85	20	1.279841801	0	500	24	1.279841801	83.5131451	380	20	20	20	10	1	-999	-999
287	18.5	0.85	20	1.294723683	0	500	24	1.294723683	83.49981286	380	20	20	20	10	1	-999	-999
287	19	0.85	20	1.294723683	0	500	24	1.294723683	83.49981286	380	20	20	20	10	1	-999	-999
287	19.5	0.85	20	1.415148355	0	500	24	1.415148355	83.53980957	380	20	20	20	10	1	-999	-999
287	20	0.85	20	1.38139266	0	0	24	1.38139266	83.53980957	380	20	20	20	10	1	-999	-999
287	20.5	0.85	20	1.260483018	0	0	24	1.260483018	83.61980301	380	20	20	20	10	1	-999	-999
287	21	0.85	20	1.298774982	0	0	24	1.298774982	83.61980301	380	20	20	20	10	1	-999	-999
287	21.5	0.85	20	1.313772383	0	0	24	1.313772383	83.61980301	380	20	20	20	10	1	-999	-999
287	22	0.85	20	1.330440198	0	0	24	1.330440198	83.61980301	380	20	20	20	10	1	-999	-999
287	22.5	0.85	20	1.348298456	0	0	24	1.348298456	83.65979972	380	20	20	20	10	1	-999	-999
287	23	0.85	20	1.381038595	0	0	24	1.381038595	83.65979972	380	20	20	20	10	1	-999	-999
287	23.5	0.85	20	1.445749518	0	0	24	1.445749518	83.61980301	380	20	20	20	10	1	-999	-999
287	24	0.85	20	1.500093646	0	0	24	1.500093646	83.61980301	380	20	20	20	10	1	-999	-999
288	0.5	0.85	20	0.672323613	0	0	24	0.672323613	83.9931057	380	20	20	20	10	1	-999	-999
288	1	0.85	20	0.692522176	0	0	24	0.692522176	83.9931057	380	20	20	20	10	1	-999	-999
288	1.5	0.85	20	0.701477896	0	0	24	0.701477896	83.93977674	380	20	20	20	10	1	-999	-999
288	2	0.85	20	0.712930596	0	0	24	0.712930596	83.93977674	380	20	20	20	10	1	-999	-999
288	2.5	0.85	20	0.730109647	0	0	24	0.730109647	83.91311227	380	20	20	20	10	1	-999	-999
288	3	0.85	20	0.747288697	0	0	24	0.747288697	83.91311227	380	20	20	20	10	1	-999	-999
288	3.5	0.85	20	0.758741398	0	0	24	0.758741398	83.89978003	380	20	20	20	10	1	-999	-999
288	4	0.85	20	0.770194098	0	0	24	0.770194098	83.89978003	380	20	20	20	10	1	-999	-999
288	4.5	0.85	20	0.784509973	0	0	24	0.784509973	83.91311227	380	20	20	20	10	1	-999	-999
288	5	0.85	20	0.798825849	5	0	24	0.798825849	83.91311227	380	20	20	20	10	1	-999	-999
288	5.5	0.85	20	0.816004899	0	0	24	0.816004899	83.93977674	380	20	20	20	10	1	-999	-999
288	6	0.85	20	0.830320775	0	500	24	0.830320775	83.93977674	380	20	20	20	10	1	-999	-999
288	6.5	0.85	20	1.093406232	0	500	24	1.093406232	83.96644122	380	20	20	20	10	1	-999	-999
288	7	0.85	20	1.119502438	0	500	24	1.119502438	83.96644122	380	20	20	20	10	1	-999	-999
288	7.5	0.85	20	1.131224977	0	500	24	1.131224977	83.96644122	380	20	20	20	10	1	-999	-999
288	8	0.85	20	1.131224977	0	500	24	1.131224977	83.96644122	380	20	20	20	10	1	-999	-999
288	8.5	0.85	20	1.128294342	0	500	24	1.128294342	84.01977018	380	20	20	20	10	1	-999	-999
288	9	0.85	20	1.119578189	0	500	24	1.119578189	84.01977018	380	20	20	20	10	1	-999	-999
288	9.5	0.85	20	1.12539418	0	500	24	1.12539418	84.00643794	380	20	20	20	10	1	-999	-999
288	10	0.85	20	1.110920991	0	500	24	1.110920991	84.00643794	380	20	20	20	10	1	-999	-999
288	10.5	0.85	20	1.108035482	0	500	24	1.108035482	83.96644122	380	20	20	20	10	1	-999	-999
288	11	0.85	20	1.119578189	0	500	24	1.119578189	83.96644122	380	20	20	20	10	1	-999	-999
288	11.5	0.85	20	1.108035482	0	500	24	1.108035482	83.93977674	380	20	20	20	10	1	-999	-999
288	12	0.85	20	1.1138065	0	500	24	1.1138065	83.93977674	380	20	20	20	10	1	-999	-999
288	12.5	0.85	20	1.116692009	0	500	24	1.116692009	83.88644779	380	20	20	20	10	1	-999	-999
288	13	0.85	20	1.134155611	0	500	24	1.134155611	83.88644779	380	20	20	20	10	1	-999	-999
288	13.5	0.85	20	1.137086246	0	500	24	1.137086246	83.83311883	380	20	20	20	10	1	-999	-999
288	14	0.85	20	1.1138065	0	500	24	1.1138065	83.83311883	380	20	20	20	10	1	-999	-999
288	14.5	0.85	20	1.116692009	0	500	24	1.116692009	83.77978988	380	20	20	20	10	1	-999	-999
288	15	0.85	20	1.1138065	0	500	24	1.1138065	83.77978988	380	20	20	20	10	1	-999	-999
288	15.5	0.85	20	1.1138065	0	500	24	1.1138065	83.85978331	380	20	20	20	10	1	-999	-999
288	16	0.85	20	1.110920991	0	500	24	1.110920991	83.85978331	380	20	20	20	10	1	-999	-999
288	16.5	0.85	20	1.110920991	0	500	24	1.110920991	83.84645107	380	20	20	20	10	1	-999	-999
